distance,Logistic
5,0.25326767318229
15,0.252042686140623
25,0.250820016419328
35,0.249599694705912
45,0.248381751426907
55,0.247166216745282
65,0.245953120557908
75,0.244742492493093
85,0.243534361908171
95,0.242328757887152
105,0.24112570923844
115,0.239925244492598
125,0.238727391900187
135,0.237532179429662
145,0.236339634765327
155,0.235149785305356
165,0.233962658159872
175,0.23277828014909
185,0.231596677801522
195,0.230417877352244
205,0.229241904741221
215,0.228068785611702
225,0.226898545308669
235,0.225731208877355
245,0.224566801061816
255,0.223405346303571
265,0.222246868740302
275,0.221091392204617
285,0.219938940222869
295,0.218789536014043
305,0.217643202488702
315,0.21649996224799
325,0.215359837582704
335,0.214222850472414
345,0.213089022584661
355,0.211958375274196
365,0.21083092958229
375,0.209706706236105
385,0.208585725648115
395,0.207468007915591
405,0.20635357282015
415,0.205242439827348
425,0.204134628086347
435,0.203030156429625
445,0.201929043372753
455,0.200831307114222
465,0.199736965535333
475,0.198646036200131
485,0.197558536355409
495,0.196474482930754
505,0.195393892538655
515,0.194316781474658
525,0.193243165717582
535,0.192173060929781
545,0.19110648245746
555,0.190043445331046
565,0.188983964265602
575,0.187928053661302
585,0.186875727603944
595,0.185826999865525
605,0.18478188390485
615,0.183740392868205
625,0.182702539590062
635,0.181668336593843
645,0.180637796092721
655,0.179610929990476
665,0.178587749882383
675,0.177568267056159
685,0.17655249249294
695,0.175540436868309
705,0.174532110553367
715,0.173527523615838
725,0.172526685821219
735,0.171529606633977
745,0.17053629521877
755,0.169546760441723
765,0.16856101087173
775,0.167579054781799
785,0.166600900150433
795,0.165626554663047
805,0.164656025713418
815,0.163689320405174
825,0.162726445553308
835,0.161767407685739
845,0.16081221304489
855,0.159860867589309
865,0.158913376995316
875,0.157969746658679
885,0.157029981696324
895,0.15609408694807
905,0.155162066978391
915,0.154233926078213
925,0.153309668266724
935,0.152389297293225
945,0.151472816638995
955,0.150560229519184
965,0.149651538884735
975,0.148746747424317
985,0.147845857566292
995,0.146948871480698
1005,0.146055791081253
1015,0.145166618027383
1025,0.144281353726262
1035,0.143399999334879
1045,0.142522555762118
1055,0.141649023670857
1065,0.140779403480086
1075,0.139913695367036
1085,0.139051899269326
1095,0.138194014887127
1105,0.13734004168534
1115,0.136489978895782
1125,0.135643825519387
1135,0.134801580328428
1145,0.133963241868736
1155,0.13312880846194
1165,0.132298278207714
1175,0.131471648986035
1185,0.130648918459448
1195,0.129830084075339
1205,0.129015143068221
1215,0.128204092462021
1225,0.127396929072376
1235,0.126593649508938
1245,0.125794250177679
1255,0.124998727283204
1265,0.124207076831071
1275,0.123419294630108
1285,0.122635376294742
1295,0.121855317247321
1305,0.121079112720447
1315,0.120306757759304
1325,0.119538247223996
1335,0.11877357579187
1345,0.118012737959859
1355,0.11725572804681
1365,0.116502540195814
1375,0.115753168376542
1385,0.115007606387568
1395,0.114265847858701
1405,0.113527886253306
1415,0.112793714870624
1425,0.112063326848094
1435,0.111336715163661
1445,0.110613872638088
1455,0.109894791937261
1465,0.109179465574486
1475,0.108467885912782
1485,0.107760045167172
1495,0.10705593540696
1505,0.106355548558008
1515,0.105658876405002
1525,0.104965910593712
1535,0.104276642633243
1545,0.103591063898282
1555,0.102909165631328
1565,0.102230938944923
1575,0.101556374823867
1585,0.100885464127428
1595,0.100218197591534
1605,0.0995545658309708
1615,0.09889455934155
1625,0.0982381685022819
1635,0.0975853835775295
1645,0.0969361947191538
1655,0.0962905919686471
1665,0.095648565259255
1675,0.0950101044180863
1685,0.0943751991682106
1695,0.0937438391307436
1705,0.0931160138269202
1715,0.0924917126801537
1725,0.0918709250180836
1735,0.0912536400746082
1745,0.0906398469919055
1755,0.0900295348224399
1765,0.089422692530954
1775,0.0888193089964485
1785,0.0882193730141461
1795,0.0876228732974426
1805,0.0870297984798416
1815,0.0864401371168772
1825,0.0858538776880191
1835,0.0852710085985654
1845,0.0846915181815188
1855,0.0841153946994477
1865,0.083542626346333
1875,0.0829732012493984
1885,0.0824071074709266
1895,0.0818443330100582
1905,0.0812848658045758
1915,0.0807286937326735
1925,0.0801758046147079
1935,0.0796261862149361
1945,0.0790798262432352
1955,0.0785367123568073
1965,0.0779968321618679
1975,0.0774601732153177
1985,0.0769267230263995
1995,0.0763964690583369
2005,0.0758693987299581
2015,0.075345499417303
2025,0.0748247584552135
2035,0.0743071631389079
2045,0.0737927007255385
2055,0.0732813584357328
2065,0.0727731234551184
2075,0.0722679829358312
2085,0.071765923998007
2095,0.0712669337312569
2105,0.070770999196126
2115,0.0702781074255354
2125,0.0697882454262085
2135,0.0693014001800793
2145,0.0688175586456861
2155,0.0683367077595472
2165,0.0678588344375214
2175,0.0673839255761504
2185,0.0669119680539875
2195,0.0664429487329069
2205,0.065976854459399
2215,0.0655136720658485
2225,0.0650533883717964
2235,0.0645959901851854
2245,0.0641414643035905
2255,0.0636897975154318
2265,0.0632409766011724
2275,0.0627949883345004
2285,0.0623518194834941
2295,0.061911456811772
2305,0.0614738870796274
2315,0.0610390970451463
2325,0.0606070734653101
2335,0.0601778030970835
2345,0.0597512726984853
2355,0.0593274690296454
2365,0.0589063788538451
2375,0.0584879889385432
2385,0.0580722860563864
2395,0.0576592569862044
2405,0.0572488885139904
2415,0.0568411674338668
2425,0.0564360805490351
2435,0.0560336146727123
2445,0.0556337566290517
2455,0.0552364932540498
2465,0.0548418113964379
2475,0.0544496979185602
2485,0.0540601396972371
2495,0.0536731236246147
2505,0.0532886366089991
2515,0.0529066655756789
2525,0.0525271974677312
2535,0.0521502192468159
2545,0.0517757178939551
2555,0.0514036804102997
2565,0.0510340938178818
2575,0.0506669451603544
2585,0.0503022215037173
2595,0.0499399099370304
2605,0.0495799975731136
2615,0.0492224715492334
2625,0.0488673190277779
2635,0.0485145271969177
2645,0.0481640832712548
2655,0.0478159744924596
2665,0.0474701881298943
2675,0.0471267114812252
2685,0.0467855318730218
2695,0.0464466366613448
2705,0.0461100132323218
2715,0.0457756490027109
2725,0.045443531420453
2735,0.0451136479652124
2745,0.0447859861489059
2755,0.0444605335162206
2765,0.0441372776451203
2775,0.0438162061473409
2785,0.0434973066688752
2795,0.0431805668904459
2805,0.0428659745279681
2815,0.0425535173330023
2825,0.042243183093195
2835,0.0419349596327101
2845,0.0416288348126495
2855,0.0413247965314637
2865,0.0410228327253526
2875,0.0407229313686548
2885,0.04042508047423
2895,0.0401292680938272
2905,0.0398354823184489
2915,0.0395437112787003
2925,0.0392539431451327
2935,0.0389661661285761
2945,0.0386803684804628
2955,0.0383965384931425
2965,0.0381146645001871
2975,0.0378347348766882
2985,0.0375567380395449
2995,0.0372806624477429
3005,0.037006496602626
3015,0.0367342290481576
3025,0.0364638483711756
3035,0.0361953432016377
3045,0.0359287022128596
3055,0.035663914121744
3065,0.0354009676890038
3075,0.0351398517193745
3085,0.0348805550618219
3095,0.0346230666097403
3105,0.034367375301144
3115,0.0341134701188508
3125,0.0338613400906594
3135,0.0336109742895181
3145,0.0333623618336878
3155,0.0331154918868973
3165,0.0328703536584913
3175,0.032626936403573
3185,0.0323852294231387
